subject,activity_name,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-std(),tGravityAccMag-std(),tBodyAccJerkMag-std(),tBodyGyroMag-std(),tBodyGyroJerkMag-std(),fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-std(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-std(),tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyAccMag-mean(),tGravityAccMag-mean(),tBodyAccJerkMag-mean(),tBodyGyroMag-mean(),tBodyGyroJerkMag-mean(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyAccMag-mean(),fBodyBodyAccJerkMag-mean(),fBodyBodyGyroMag-mean(),fBodyBodyGyroJerkMag-mean()
1,LAYING,-0.9280564692000001,-0.83682740562,-0.826061401628,-0.8968300184000001,-0.9077200067600001,-0.85236629022,-0.958482112,-0.9241492736000001,-0.9548551108000001,-0.87354386782,-0.9510904402,-0.9082846626,-0.9186085208000001,-0.9679072436000001,-0.9577901596,-0.79514486386,-0.79514486386,-0.9282456284,-0.8190101697600001,-0.9358409828,-0.9244374346,-0.8336255561,-0.81289155944,-0.9641607086,-0.9322178704,-0.9605869872,-0.8822964508000001,-0.9512320494000001,-0.9165825082000001,-0.7983009404000001,-0.9218039756,-0.8243194396800001,-0.9326606676000001,0.22159824394000002,-0.0405139534294,-0.11320355358,-0.24888179828,0.70554977346,0.4458177198,0.0810865342,0.0038382040087999985,0.010834236360999998,-0.016553093978000002,-0.06448612408800002,0.14868943626,-0.107270949192,-0.041517286890000005,-0.0740501211,-0.8419291525,-0.8419291525,-0.9543962646,-0.8747595480000001,-0.96346103,-0.9390990524,-0.8670652051800001,-0.8826668762000001,-0.9570738838,-0.9224626098,-0.9480609042,-0.850249174586,-0.9521914948,-0.909302721,-0.8617676481000001,-0.9333003608,-0.8621901854,-0.9423669466000001
1,SITTING,-0.9772290082978724,-0.9226186419148936,-0.9395862910638298,-0.9684571457446809,-0.9355170559574468,-0.9490409331914894,-0.9864307112765958,-0.981371965319149,-0.9879108044680852,-0.9772112831914894,-0.966473895319149,-0.9414259208510639,-0.9917315921276596,-0.9895180685106384,-0.9879358063829788,-0.9270784187234044,-0.9270784187234044,-0.9841200240425533,-0.934531840425532,-0.9883087285106383,-0.9764123131914895,-0.9172750063829788,-0.9344695580851065,-0.9874929944680851,-0.9825139095744682,-0.9883391848936172,-0.9779042270212767,-0.9623450425531915,-0.9439178410638298,-0.9284448017021277,-0.9816061774468086,-0.9321983748936171,-0.9870496172340426,0.26123756542553195,-0.0013082876517021298,-0.10454418225531915,0.8315099334042553,0.20441159268085107,0.33204370276595746,0.07748251995744682,-6.191027851063799e-4,-0.003367792350212764,-0.04535005651276596,-0.09192415493617022,0.06293138119148936,-0.09367938072340427,-0.04021181242553192,-0.04670262700000001,-0.9485367861702129,-0.9485367861702129,-0.9873641955319149,-0.9308924900000001,-0.9919763412765958,-0.9796412387234043,-0.944084550425532,-0.9591848891489362,-0.9865970225531915,-0.9815794670212766,-0.9860530923404256,-0.9761614640425532,-0.975838585319149,-0.9513155444680852,-0.9477829225531915,-0.9852621268085107,-0.9584355893617021,-0.9897975472340427
1,STANDING,-0.995759901509434,-0.9731900564150944,-0.9797758769811321,-0.9937629850943397,-0.9812259579245284,-0.9763240635849056,-0.9946045422641511,-0.9856487324528302,-0.9922511773584907,-0.9871919466037736,-0.9877344400000001,-0.9806456269811321,-0.9929451069811321,-0.9951379173584907,-0.9921084671698114,-0.9819429288679246,-0.9819429288679246,-0.9930962094339624,-0.9786900286792454,-0.9947332386792453,-0.9960283450943397,-0.9722931020754717,-0.9779372596226416,-0.9950737592452831,-0.9870182267924529,-0.9923498181132077,-0.9874971286792453,-0.9871077277358491,-0.98234533,-0.9823138047169812,-0.9925360033962265,-0.9784660720754718,-0.9946711232075472,0.2789176290566038,-0.016137590103773587,-0.11060181773584905,0.9429520003773585,-0.27298383226415096,0.01349058232264151,0.07537665422641511,0.007975730928301887,-0.0036852495470943406,-0.023987734797924532,-0.059397220981132086,0.07480075100000001,-0.09960921290566038,-0.04406278779245284,-0.048950546671698125,-0.9842782073584906,-0.9842782073584906,-0.9923677905660379,-0.9764937928301888,-0.9949667905660378,-0.9952499326415095,-0.9770708477358491,-0.9852970986792454,-0.9946307973584907,-0.9854187045283019,-0.990752166037736,-0.9863867860377359,-0.9889844558490567,-0.9807731228301887,-0.9853563611320756,-0.9925424775471698,-0.9846176233962265,-0.9948153769811322
1,WALKING,-0.28374025884210524,0.11446133674736843,-0.26002790221052635,-0.9766096425263159,-0.9713059614736842,-0.9477172261052632,-0.11361560243578947,0.06700250076842106,-0.5026997885263158,-0.4735354858947369,-0.054607768659473685,-0.3442666294736842,-0.20742185475789474,-0.304468510631579,-0.40425545263157897,-0.21968864563157894,-0.21968864563157894,-0.07447175006252632,-0.1869783645263158,-0.3253248788947368,-0.31913471957894735,0.056040006846,-0.2796867514947368,-0.1335866063263158,0.106739857136,-0.5347134404210526,-0.5166919387368422,-0.03350815978842105,-0.43656222747368423,-0.3980325868421053,-0.10349240300210527,-0.32101795389473686,-0.3816019117894737,0.2773307587368421,-0.017383818527368426,-0.11114810354736843,0.9352232014736842,-0.2821650212631579,-0.068102864,0.07404163331578949,0.02827210958842106,-0.004168406177894742,-0.041830963526000006,-0.06953004621157895,0.08494481730421054,-0.08999754237052632,-0.03984287094631579,-0.04613092950210526,-0.1369711765568421,-0.1369711765568421,-0.14142880903157895,-0.1609795525368421,-0.2987036790842105,-0.2027943063263158,0.08971272640210527,-0.3315601177894737,-0.17054696454957893,-0.035225524113063164,-0.46899922463157895,-0.33903219711578947,-0.10305941643473684,-0.25594094031578946,-0.1286234506294737,-0.057119400034315794,-0.1992525689863158,-0.3193085937789474
1,WALKING_DOWNSTAIRS,0.030035338348387754,-0.0319359434489796,-0.23043421320408164,-0.9505598116326531,-0.9370186589795918,-0.8959396951020409,-0.012283860544897957,-0.10160139064081633,-0.34573503232653063,-0.45803054293877554,-0.12634919493877553,-0.12470245424285716,-0.48702734224489796,-0.23882482753061227,-0.2687614802428571,0.019884350626530614,0.019884350626530614,-0.025787719708163268,-0.22572436806122448,-0.30651064553061225,0.02433083913877551,-0.11296373995306122,-0.2979278946938776,-0.08632789664020409,-0.13458000887755103,-0.4017214642857143,-0.49542248610204087,-0.18141472865714287,-0.23844356530612246,-0.1865303010734694,-0.10405226072653062,-0.398350390122449,-0.3919198766122449,0.2891883204081633,-0.009918504610204083,-0.10756619090816327,0.9318744189795919,-0.26661033897959185,-0.062119958593877554,0.054155316489795914,0.029650449040816325,-0.010971973018367344,-0.0350781902989796,-0.09093712902040817,0.09008501420306123,-0.07395920362714287,-0.043990278336734696,-0.027046106106122455,0.027188291410612245,0.027188291410612245,-0.08944748079795918,-0.07574125436734694,-0.29546384334693876,0.03822918315102041,0.0015499078359183628,-0.22557447169387757,-0.027663867612244902,-0.1286671576489796,-0.2883347357142857,-0.3524496313632653,-0.05570225246938776,-0.03186942719795918,0.09658453430408163,0.026218494932653057,-0.18572028574489796,-0.281963359177551
1,WALKING_UPSTAIRS,-0.35470802509433963,-0.00232026501698113,-0.019479238847169813,-0.9563670279245283,-0.9528492332075472,-0.9123794103773585,-0.4468438877358491,-0.37827442603773587,-0.7065935309433963,-0.5448711045283019,0.004105183798113208,-0.5071686749056604,-0.614786508490566,-0.6016966562264151,-0.606332002264151,-0.32497092924528304,-0.32497092924528304,-0.4789916220754717,-0.14861931805283018,-0.6485530443396227,-0.3374281886792453,0.021769510656603777,0.08595655438490567,-0.46190702584905663,-0.3817770652830189,-0.726040200754717,-0.565892490754717,0.15153890556603775,-0.57170784,-0.416260101509434,-0.5330598537735849,-0.18298551826415094,-0.693930521509434,0.2554616896226415,-0.023953149264339627,-0.09730200209433963,0.8933510975471698,-0.36215336433962264,-0.07540293975471699,0.10137272992264151,0.019486307618867924,-0.04556254491132075,0.05054937975471698,-0.16617001508867926,0.05835954639811321,-0.12223276801132076,-0.0421485884509434,-0.0407125527654717,-0.12992763073584906,-0.12992763073584906,-0.4665034462264151,-0.12673558996981132,-0.5948828650943396,-0.4043217841509434,-0.19097672081132075,-0.43334970207547174,-0.47987524566037737,-0.41344458754716984,-0.6854743539622642,-0.4926116679245283,-0.3194746090566038,-0.45359721301886796,-0.35239594471698116,-0.44265216245283023,-0.32596145739622645,-0.6346650820754717
2,LAYING,-0.9740594647916667,-0.9802773987500001,-0.984233296875,-0.9590144414583334,-0.9882118652083334,-0.984230418125,-0.98587216875,-0.9831725412500001,-0.9884420143750001,-0.9882752329166667,-0.9822916089583333,-0.9603065604166667,-0.9932358491666667,-0.9895675379166667,-0.98803582125,-0.9728739129166667,-0.9728739129166667,-0.9855180762500001,-0.9611640539583334,-0.9897180952083334,-0.9732464820833334,-0.981025105625,-0.9847921850000001,-0.9872502558333334,-0.9849873929166668,-0.9893453685416668,-0.9888606858333334,-0.9819106164583334,-0.9631742222916667,-0.9751213879166667,-0.9845684891666667,-0.96109837875,-0.9894926604166667,0.2813734039583333,-0.018158739758333337,-0.10724561041666666,-0.509754238125,0.752536639375,0.6468348795833333,0.08259725116666668,0.012254788451875002,-0.0018026489562500002,-0.018476606750000003,-0.11180082458333335,0.14488284610416668,-0.10197413420833334,-0.03585901760833334,-0.07017830208333334,-0.9774354852083333,-0.9774354852083333,-0.9877416960416667,-0.9500115695833333,-0.9917670741666668,-0.9767250597916667,-0.9798008779166667,-0.984380981875,-0.9858136308333334,-0.9827682504166667,-0.9861971345833335,-0.9864311425000001,-0.9833216354166667,-0.9626718875000001,-0.9751101964583334,-0.9853741147916667,-0.9721129727083334,-0.9902487022916667
2,SITTING,-0.9868222795652175,-0.9507044991304349,-0.9598281717391305,-0.9799887608695653,-0.9567502730434783,-0.9544158730434783,-0.9880558541304348,-0.9779839554347827,-0.9875182117391305,-0.985742027826087,-0.9789195269565217,-0.9598037086956522,-0.9897090230434783,-0.9908896147826087,-0.985542325652174,-0.9530814441304348,-0.9530814441304348,-0.9844758680434783,-0.9613136241304348,-0.9895949195652174,-0.9873620900000001,-0.9500737541304348,-0.9568628641304349,-0.9894591073913044,-0.9808042284782609,-0.9885708041304349,-0.9868085015217392,-0.9773561886956522,-0.9635226597826088,-0.9555756021739131,-0.9841241858695653,-0.9613857452173913,-0.9896329089130436,0.27708735173913046,-0.015687993728260873,-0.10921827245652174,0.9404772730434783,-0.10563002449878262,0.1987267687608696,0.07225643871739132,0.011695451132391305,0.0076054692986956525,-0.045470662043478265,-0.059928679704347836,0.04122774621739131,-0.09363284128260871,-0.041560202913043486,-0.04358509665000001,-0.9678936239130435,-0.9678936239130435,-0.9867747130434783,-0.946035087173913,-0.9910814939130436,-0.985803840652174,-0.957343498478261,-0.9701621726086957,-0.9878487936956521,-0.977139702826087,-0.9851290502173914,-0.9826213895652175,-0.9821009236956523,-0.9598148223913043,-0.9612737482608696,-0.9838746989130436,-0.9718405960869565,-0.9898619508695653
2,STANDING,-0.9872718892592593,-0.9573049892592593,-0.9497418512962963,-0.9866858187037038,-0.9741944203703704,-0.9459270787037037,-0.9810857155555556,-0.9710594396296297,-0.9828414464814815,-0.9729986298148149,-0.9714419964814816,-0.9648567018518519,-0.9793240007407408,-0.9834472585185186,-0.9736101183333333,-0.957874965,-0.957874965,-0.9766752801851852,-0.9539433803703704,-0.9772044277777778,-0.9890564698148149,-0.9579088422222222,-0.9464335835185186,-0.9830079237037037,-0.9735202411111111,-0.9845999051851853,-0.9749881246296297,-0.9710360503703704,-0.9697542957407408,-0.9605193814814815,-0.97516046,-0.9567887257407408,-0.9777542981481482,0.27791147222222223,-0.01842082701666667,-0.10590853605555556,0.8969285668518518,-0.37006269685185184,0.1297471612222222,0.07475885975925928,0.010329177479444446,-0.008371588467222222,-0.0238623875712963,-0.08203965775925927,0.08783516954814816,-0.1055621578888889,-0.042241953537037046,-0.0546539479425926,-0.9658751812962963,-0.9658751812962963,-0.9804890774074074,-0.9634663418518519,-0.9839519042592593,-0.9839467398148148,-0.9598716974074074,-0.9624711957407408,-0.9809732416666668,-0.970851337962963,-0.9797751520370371,-0.967037112037037,-0.9725761529629631,-0.9606276961111111,-0.9640521664814815,-0.9770652955555557,-0.9617759048148149,-0.9778498274074074
2,WALKING,-0.4236428384745763,-0.07809125331186441,-0.42525752491525426,-0.9726932013559322,-0.972116879661017,-0.9720728476271187,-0.277530462620339,-0.016602236284745765,-0.5860904189830509,-0.5615502557627119,-0.5384536677966102,-0.4810855350847458,-0.3895498315254237,-0.6341404361016949,-0.4354926772881356,-0.4225441693220339,-0.4225441693220339,-0.16415098512711865,-0.5530199162711865,-0.5577981513559322,-0.4576513837288136,-0.16921968620338984,-0.455222146440678,-0.31431306340677967,-0.015332952008474577,-0.6158981884745763,-0.6040530191525424,-0.5330469525423729,-0.5598566350847458,-0.5771052116949152,-0.16409196944915255,-0.651792839661017,-0.5581045547457627,0.27642658644067797,-0.018594919914576274,-0.1055003579661017,0.9130173333898305,-0.34660709,0.08472708711864407,0.0618080696279661,0.018249267928813546,0.007895337066101698,-0.05302581573474577,-0.04823823169491526,0.0828336633220339,-0.08188334291525423,-0.05382994490677966,-0.051493915683050846,-0.2904075937288136,-0.2904075937288136,-0.28142415388135594,-0.44654909288135597,-0.5479119503389831,-0.3460481610169492,-0.02190481033220339,-0.4538063698305085,-0.30461532288135595,-0.07876408366101695,-0.554956709661017,-0.42971353610169494,-0.5547721122033898,-0.39665990745762714,-0.3242894279322034,-0.16906435281355933,-0.5307048147457627,-0.5832492933898306
